Source	Author	Title	Description	PublishedAt	URL	coding	coverage
Fox News	Andrea Margolis	"Trump merchandise outsells pro-Harris by striking margin, as Election Day draws near"	"An Omnisend report analyzed the sales of pro-Trump and pro-Harris merchandise on Amazon, finding that Trump products were more popular since Harris joined the race."	2024-10-28T22:36:08Z	https://www.foxnews.com/politics/trump-merchandise-outsells-pro-harris-striking-margin-election-day-draws-near	Election	Negative
NPR	Elena Moore	Harris needs young voters of color to win. A new poll finds cracks in her support	Vice President Harris is banking on the support of young voters. But new polling shows potential roadblocks for Harris in replicating the historically high youth support President Biden received in 2020.	2024-10-23T09:00:00Z	https://www.npr.org/2024/10/23/nx-s1-5159881/kamala-harris-young-voters-poll	Polling	Negative
New York Magazine	Ed Kilgore	The Harris vs. Trump Races Hinges on These 3 Factors	"What will decide the race between Kamala Harris and Donald Trump? Differences on the economy and abortion, voter mobilization, and each candidates’ baggage will likely tip the election."	2024-11-05T17:03:33Z	http://nymag.com/intelligencer/article/the-harris-vs-trump-races-hinges-on-these-3-factors.html	Election	Negative
Rock Hill Herald	Joe Marusak	"Billy Graham granddaughter blesses out Donald Trump, calls him a ‘megalomaniac’"	"""I recognize very little in former President Donald Trump of the Christian faith that has inspired my life.”"	2024-10-26T15:01:00Z	https://www.heraldonline.com/news/politics-government/article294578654.html	Cultural Impact	Neutral
9to5Mac	Ryan Christoffel	Trump claims Tim Cook called him about EU fining Apple $17 billion	"Tim Cook’s job as CEO covers a number of roles and responsibilities. One of them involves maintaining relationships with political powers. And according to Donald Trump, he and Cook recently had a conversation about the EU’s recent rulings against Apple.



 …"	2024-10-17T16:02:26Z	https://9to5mac.com/2024/10/17/trump-claims-tim-cook-called-him-about-eu-fining-apple-17-billion/	Policies	Negative
Wired	Tess Owen	Steve Bannon Is Out of Prison and Spreading Lies Online	"Within hours of being freed from a low-security prison where he’d been serving time on contempt charges, the MAGA architect was rallying his troops on a Rumble stream."	2024-10-29T20:57:19Z	https://www.wired.com/story/steve-bannon-is-out-of-prison-and-spreading-lies-online/	Legal Issues	Neutral
BBC News		Seven takeaways from Trump's interview with Joe Rogan	"Trump discusses the “biggest mistake” of his presidency, what he told North Korea’s leader and life in space."	2024-10-26T15:10:30Z	https://www.bbc.com/news/articles/cy8nn0913e8o	Election	Neutral
Associated Press	"By JILL COLVIN, DARLENE SUPERVILLE and BILL BARROW - Associated Press"	Harris and Trump make a furious final push before Election Day	"The presidential campaign comes down to a final sprint across a handful of states on the eve of Election Day. This year's race has careened through a felony trial, an incumbent president being pushed off the ticket and multiple assassination…"	2024-11-04T20:45:00Z	https://apnews.com/article/donald-trump-kamala-harris-2024-election-0429c35a84739bd90d9e5bb92fe803de	Election	Neutral
Time	Chad de Guzman	"Donald Trump’s Long Love for McDonald’s, Explained"	The former President’s McDonald’s campaign stop caps a yearslong fascination with the fast food chain.	2024-10-21T08:40:00Z	https://time.com/7095424/donald-trump-mcdonalds-love-campaign-kamala-harris-work-history/	Election	Negative
Breitbart News	"Breitbart News, Breitbart News"	"Watch Live: Donald Trump Holds a Rally in Atlanta, Georgia"	"Former President Donald Trump speaks to supporters at a rally in Atlanta, Georgia, on Tuesday, October 15.
The post Watch Live: Donald Trump Holds a Rally in Atlanta, Georgia appeared first on Breitbart."	2024-10-16T01:04:15Z	https://www.breitbart.com/2024-election/2024/10/15/watch-live-donald-trump-holds-a-rally-in-atlanta-georgia/	Election	Negative
Wired	David Gilbert	A Russian Disinfo Campaign Is Using Comment Sections to Seed Pro-Trump Conspiracy Theories	A disinformation campaign is using the unmoderated spaces of right-wing news website comment sections to push their narratives.	2024-11-01T12:00:00Z	https://www.wired.com/story/russia-disinfo-campaign-right-wing-comment-sections-pro-trump/	Cultural Impact	Negative
TechCrunch	Sarah Perez	Bluesky gears up for Election Day as X goes pro-Trump	"As Election Day in the U.S. nears, social networking startup Bluesky, now flush with new capital, hopes to demonstrate that its platform can serve as a more trusted, fact-checked alternative to Elon Musk’s X. While the latter is dominated by Musk’s support fo…"	2024-11-04T19:20:09Z	https://techcrunch.com/2024/11/04/bluesky-gears-up-for-election-day-as-x-goes-pro-trump/	Election	Neutral
Yahoo Entertainment	Sarah N. Lynch	Trump transition official warns Justice Dept staff against 'resistance'	An attorney helping President-elect Donald Trump assemble his new administration warned career employees at the U.S. Justice Department on Monday that they...	2024-11-11T20:22:38Z	https://www.yahoo.com/news/trump-transition-official-warns-justice-202238104.html	Legal Issues	Neutral
Business Insider	Talia Lakritz	Ivanka Trump has been absent from the 2024 campaign trail. Here's what she's been up to.	Ivanka Trump stepped back from politics when Donald Trump launched his 2024 campaign and has largely returned to her previous life as a socialite.	2024-10-24T13:14:02Z	https://www.businessinsider.com/ivanka-trump-donald-trump-campaign-photos-2024-10	Cultural Impact	Neutral
New York Magazine	Margaret Hartmann	"Melania Trump Plays Normal Political Wife, For One Week Only"	"Melania Trump is playing a normal political wife, for one week only. After skipping most of the election, Melania plugged her book, appeared at the Madison Square Garden rally, and insisted Donald Trump is ‘not Hitler’ on Fox News today."	2024-10-29T18:48:27Z	http://nymag.com/intelligencer/article/melania-trump-msg-rally-fox-news-hitler.html	Election	Negative
Business Insider	"Grace Kay,Taylor Rains"	Flight logs show Elon Musk's private jets are busy hitting swing states as he campaigns for Trump	Elon Musk's private planes made eight flights to and from Pennsylvania this past week.	2024-10-21T19:53:48Z	https://www.businessinsider.com/elon-musk-private-jet-hits-swing-states-campaigns-donald-trump-2024-10	Election	Negative
Breitbart News	"Breitbart News, Breitbart News"	"Watch Live: Donald Trump Holds Rally in Albuquerque, New Mexico"	"Former President Donald Trump speaks to supporters at a rally in Albuquerque, New Mexico, on Thursday, October 31.
The post Watch Live: Donald Trump Holds Rally in Albuquerque, New Mexico appeared first on Breitbart."	2024-10-31T18:32:50Z	https://www.breitbart.com/2024-election/2024/10/31/watch-live-donald-trump-holds-rally-in-albuquerque-new-mexico/	Election	Neutral
The Verge	Andrew J. Hawkins	This election will decide what kind of car you’ll buy	"Trump has promised to roll back Biden’s EV policies on “day one,” while Harris has avoided wading into the bizarre politicization of electric vehicles."	2024-10-29T13:30:00Z	https://www.theverge.com/24279434/presidential-election-trump-biden-harris-ev-2024-electric-vehicle-car	Policies	Negative
Buzzfeed	"Natasha Jokic, Michaela Bramwell"	"Donald Trump Supporters Are Already Finding Out What Their Vote Actually Meant, And The Stories Are Going Viral"	"""I actually had a Trump voter say to me today 'he’s not really gonna get rid of the ACA right? My wife and I both have plans through it.'""View Entire Post ›"	2024-11-08T18:09:02Z	https://www.buzzfeed.com/natashajokic1/election-trump-supporters-find-out	Cultural Impact	Negative
Scientific American	"Arthur Caplan, James Tabery"	Donald Trump Wants to Make Eugenics Great Again. Let’s Not	Trump’s anti-immigrant good-gene-bad-gene screeds are nothing but factless eugenics for a new era	2024-10-17T14:30:00Z	https://www.scientificamerican.com/article/donald-trump-wants-to-make-eugenics-great-again-lets-not/	Cultural Impact	Negative
The New Yorker	The New Yorker	Donald Trump Returns. What Now?	"“This is the pivotal four years,” Susan B. Glasser says. “We’re going to understand whether something like an American strongman can arise within our system right now or not.”"	2024-11-09T11:00:00Z	https://www.newyorker.com/podcast/political-scene/donald-trump-returns-what-now	Cultural Impact	Negative
Breitbart News	"Breitbart News, Breitbart News"	"Watch Live: Donald Trump Holds Rally in Raleigh, North Carolina"	"Former President Donald Trump speaks to supporters in Raleigh, North Carolina, on Monday, November 4, the last day before the election.
The post Watch Live: Donald Trump Holds Rally in Raleigh, North Carolina appeared first on Breitbart."	2024-11-04T15:52:46Z	https://www.breitbart.com/2024-election/2024/11/04/watch-live-donald-trump-holds-rally-in-raleigh-north-carolina/	Election	Neutral
Gizmodo.com	Matt Novak	Dems Launch Taylor Swift Snapchat Filter to Target Young Voters for Kamala Harris	The campaign pushes users to IWillVote.com to make sure they're registered.	2024-10-18T12:55:08Z	https://gizmodo.com/dems-launch-taylor-swift-snapchat-filter-to-target-young-voters-for-kamala-harris-2000513374	Election	Negative
Yahoo Entertainment	MICHELLE L. PRICE	A failed mic leaves Donald Trump pacing the stage in silence for nearly 20 minutes	Donald Trump paced his rally stage in silence for nearly 20 minutes Friday night in Detroit after his microphone cut out.  It was the second time in a week...	2024-10-19T00:36:23Z	https://www.yahoo.com/news/failed-mic-leaves-donald-trump-003623940.html	Election	Neutral
Acoup.blog	Bret Devereaux	1933 and the Definition of Fascism	"Today we’re going to look at definitions of fascism and ask the question – you may have guessed – if Donald Trump is running for President as a fascist. Worry not, this isn’…"	2024-10-26T18:37:10Z	https://acoup.blog/2024/10/25/new-acquisitions-1933-and-the-definition-of-fascism/	Cultural Impact	Positive
NPR	Ron Elving	The GOP’s ‘survival instinct’ acts as an ally for Trump on Election Day and beyond	Former President Donald Trump needs voters who may have misgivings about him or some of his behavior but who have deep loyalty to the Republican Party or deep aversion to the Democrats.	2024-10-27T09:00:00Z	https://www.npr.org/2024/10/27/nx-s1-5163412/republicans-survival-instinct-donald-trump	Election	Negative
TechCrunch	Amanda Silberling	What does Trump's election mean for the TikTok ban? | TechCrunch	"As TikTok stares down an impending federal ban, Donald Trump's win in the presidential election could be a lifeline. It's a plot twist for the embattled,"	2024-11-08T21:42:19Z	https://techcrunch.com/2024/11/08/what-does-trumps-election-mean-for-the-tiktok-ban/	Policies	Negative
NPR	Rachel Treisman	Trump is promising deportations under the Alien Enemies Act of 1798. What is it?	"Former President Donald Trump says if reelected, he will invoke a centuries-old law to expedite the removal of undocumented immigrants. Can he? Here's what to know about the Alien Enemies Act of 1798."	2024-10-19T11:00:00Z	https://www.npr.org/2024/10/19/nx-s1-5156027/alien-enemies-act-1798-trump-immigration	Policies	Neutral
Wired	Joel Khalili	Trumpcoin Launches With a Whimper	Investors scooped up only a small number of the Trump family's new World Liberty Financial crypto tokens after website reliability issues interfered with a launch event.	2024-10-16T13:53:23Z	https://www.wired.com/story/trumpcoin-launches-with-a-whimper-not-a-bang/	Economy	Neutral
Buzzfeed	Alexa Lisitza	11 Incredibly Racist Moments From Donald Trump's Rally Yesterday	"Donald Trump's Madison Square Garden rally is being dubbed a ""nazi rally.""View Entire Post ›"	2024-10-28T18:22:38Z	https://www.buzzfeed.com/alexalisitza/racist-moments-trump-madison-square-garden-rally	Cultural Impact	Neutral
ABC News	"Kiara Alfonseca, Soo Rin Kim"	Trump spends millions on anti-trans ads despite polls showing lack of voter interest	Former President Donald Trump and his Republican allies are aggressively pushing anti-trans messaging in the final stretch of the 2024 election.	2024-10-21T21:47:42Z	https://abcnews.go.com/US/trump-spends-millions-anti-trans-ads-despite-polls/story?id=115001816	Election	Negative
New York Magazine	Margaret Hartmann	Where Are Trump and Harris Today? Campaign and Rally Schedules	"Where is Trump today? Where is Harris? Here’s the full Monday campaign and rally schedule for Donald Trump and Kamala Harris, including the latest news on the time and location of their election events in North Carolina, Michigan, and Pennsylvania."	2024-11-04T16:34:26Z	http://nymag.com/intelligencer/article/where-trump-harris-today-campaign-rally-schedules.html	Election	Neutral
Gizmodo.com	Matt Novak	MAGA Faithful Say McDonald’s E. Coli Outbreak Is a Conspiracy to Hurt Trump	"""I think this was orchestrated by deep state Harris supporters after Trump’s visit to McDonald’s,"" one Trump supporter wrote."	2024-10-23T18:20:38Z	https://gizmodo.com/maga-faithful-say-mcdonalds-e-coli-outbreak-is-a-conspiracy-to-hurt-trump-2000515385	Cultural Impact	Neutral
Newsweek	Natalie Venegas	Mary Trump Makes New Request of Donald Trump	The former president's estranged niece made the request after her uncle talked about whales and wind turbines on Joe Rogan's podcast.	2024-10-26T21:06:53Z	https://www.newsweek.com/mary-trump-makes-new-request-donald-trump-1975453	Cultural Impact	Neutral
Fox News	Sarah Rumpf-Whitten	Trump calls for supporters to 'forgive' Biden in show of unity after president calls supporters 'garbage'	"Former President Trump called on his supporter to ""forgive' President Biden after the elderly president called Trump supporters garbage."	2024-10-30T03:30:57Z	https://www.foxnews.com/politics/trump-calls-supporters-forgive-biden-show-unity-after-president-calls-supporters-garbage	Election	Neutral
Yahoo Entertainment	Stephanie Kaloi	Bill Maher Has Blunt Message for Democrats After Shocking Election Loss: ‘Look in the Mirror’ | Video	"Maher says Trump won in part because ""this country has had enough of the anti-common sense woke bulls---"" during Friday's episode of ""Real Time"" The post..."	2024-11-09T03:17:13Z	https://www.yahoo.com/entertainment/bill-maher-blunt-message-democrats-031713674.html	Cultural Impact	Neutral
The New Yorker	Susan B. Glasser	Donald Trump and the F-Word	"Susan B. Glasser writes on Kamala Harris embracing the “fascist” label for the ex-President, without any certainty that it will disqualify him."	2024-10-24T23:44:14Z	https://www.newyorker.com/news/letter-from-bidens-washington/donald-trump-and-the-f-word	Cultural Impact	Neutral
Fox News	Alec Schemmel	Trump camp responds to backlash over comedian's Puerto Rico joke at rally	"A joke about Puerto Rico made by comedian Tony Hinchcliffe during a Sunday Trump rally ""does not reflect"" the views of former President Donald Trump, a Trump campaign spokesperson said."	2024-10-28T14:29:37Z	https://www.foxnews.com/politics/trump-camp-responds-backlash-over-comedians-puerto-rico-joke-rally	Cultural Impact	Negative
NPR	Hansi Lo Wang	A federal judge has ordered Alabama to stop purging voters before Election Day	A judge temporarily blocked Alabama’s voter removal program after finding the state violated federal law by systematically purging voters too close to this fall’s election.	2024-10-16T17:50:06Z	https://www.npr.org/2024/10/16/nx-s1-5154148/alabama-noncitizen-voter-purge-lawsuit	Election	Neutral
The Verge	Justine Calma	Apple News will let you watch election results from your lockscreen	"On Election Day in the US, Apple News is rolling out live results to lockscreens."	2024-11-05T16:34:12Z	https://www.theverge.com/2024/11/5/24288777/election-results-apple-news-lock-screen	Cultural Impact	Negative
NBC News	NBC News	Trump continues false claims about FEMA response in North Carolina	"Latest news and live updates on the 2024 campaign as Donald Trump heads to North Carolina and Kamala Harris visits Pennsylvania, Wisconsin and Michigan."	2024-10-21T11:53:46Z	https://www.nbcnews.com/politics/2024-election/live-blog/harris-trump-election-live-updates-rcna176305	Election	Negative
CBS News	Kathryn Watson	Watch Live: Trump speaks as Harris' path to victory narrows	"Former President Donald Trump is addressing supporters from his election headquarters in West Palm Beach, Florida."	2024-11-06T07:09:00Z	https://www.cbsnews.com/news/donald-trump-election-night-watch-live-2024-11-06/	Election	Neutral
Buzzfeed	Matt Stopera	This Picture Of People Praying Over Donald Trump Is Going Viral	"I, too, would love to know what he was thinking.View Entire Post ›"	2024-10-25T17:26:45Z	https://www.buzzfeed.com/mjs538/donald-trump-praying-picture	Cultural Impact	Negative
Gizmodo.com	Matt Novak	Elon Musk Donates $75 Million to His Own Pro-Trump Group	"The Tesla CEO called his PAC ""centrist"" because you can just say whatever you want on the internet."	2024-10-16T13:05:56Z	https://gizmodo.com/elon-musk-donates-75-million-to-his-own-pro-trump-group-2000512332	Election	Negative
USA Today	"Maureen Groppe, USA TODAY"	"RFK Jr. asks Supreme Court to take him off Wisconsin ballot, despite missing deadline"	"Robert F. Kennedy Jr., who endorsed Donald Trump after ending his independent bid, has tried to get off the ballots in battleground states"	2024-10-23T22:22:46Z	https://www.usatoday.com/story/news/politics/elections/2024/10/23/rfk-jr-asks-supreme-court-wisconsin-ballot/75814391007/	Election	Negative
Fortune	Jason Ma	DJT stock’s sudden crash wipes out $2.4 billion from Donald Trump’s wealth in just 3 days	"From Wednesday to Friday, shares of Trump Media and Technology, the parent company of Truth Social, plunged 41%."	2024-11-02T17:03:02Z	https://fortune.com/2024/11/02/djt-stock-crash-donald-trump-media-net-worth-truth-social-kamala-harris/	Economy	Positive
The New Yorker	Jazmine Hughes	The Tight-Knit World of Kamala Harris’s College Sorority	How are members of A.K.A.—which Harris joined at Howard University—responding to their most famous sister’s Presidential campaign against Donald Trump? Jazmine Hughes reports.	2024-10-21T10:00:00Z	https://www.newyorker.com/magazine/2024/10/28/the-tight-knit-world-of-kamala-harris-sorority	Cultural Impact	Negative
CBS News	CBS News	Reactions to president-elect Donald Trump’s mass deportation promise	President-elect Donald Trump has vowed to carry out what he has called the largest deportation effort in American history. Here's how those on both sides of the Southern border are reacting to his election and claims.	2024-11-09T13:47:01Z	https://www.cbsnews.com/video/reactions-to-president-elect-donald-trumps-mass-deportation-promise/	Cultural Impact	Neutral
USA Today	"Marina Pitofsky, David Jackson, Zac Anderson and Mike Snider, USA TODAY"	Election 2024 live updates: Donald Trump holds rally in Madison Square Garden	Former President Donald Trump is headlining a hometown rally at New York City's Madison Square Garden on Sunday night.	2024-10-27T19:09:49Z	https://www.usatoday.com/story/news/politics/elections/2024/10/27/election-2024-live-updates-trump-madison-square-garden/75880288007/	Election	Neutral
Newsweek	Natalie Venegas	Mary Trump Warns of 'Dangers' Ahead After Donald Trump Win	"""This is a blow. I can't sugar coat it. This was a tragic blow to the American experiment,"" Trump's estranged niece said."	2024-11-09T15:38:41Z	https://www.newsweek.com/mary-trump-warns-dangers-ahead-after-donald-trump-win-1983225	Cultural Impact	Neutral
Yahoo Entertainment	Kayla Cobb	"Trump Has a ‘More Extreme’ Path to Take Power Even if He Loses Election, MSNBC Analyst Says: ‘Very Different This Time’"	"Politico journalist Kyle Cheney outlined how the Republican nominee may try to ""subvert"" the election on ""Morning Joe"" The post Trump Has a ‘More Extreme..."	2024-10-21T16:18:46Z	https://www.yahoo.com/news/trump-more-extreme-path-power-161846919.html	Cultural Impact	Positive
BBC News		Labour volunteers helping Harris 'in spare time' - Starmer	Sir Keir Starmer says his party sends volunteers to the US for 'pretty much every' presidential election.	2024-10-23T04:57:28Z	https://www.bbc.com/news/articles/c62m2pde4p6o	Election	Positive
Newsweek	Ewan Palmer	Donald Trump Booed at Al Smith Dinner	The former president attacked VP Harris with a series of one-liners at the annual charity gala in New York City.	2024-10-18T09:19:40Z	https://www.newsweek.com/donald-trump-booed-al-smith-dinner-jokes-harris-1971030	Cultural Impact	Neutral
The Verge	Gaby Del Valle	The grievance-driven blueprint for the next Trump administration	The Heritage Foundation’s Project 2025 is a blueprint for taking revenge on Big Tech and remaking America’s technological landscape under Donald Trump.	2024-10-28T13:00:00Z	https://www.theverge.com/24279329/project-2025-tech-policy-guide-trump-admin	Policies	Neutral
ABC News	Tal Axelrod	"GOP Gov. Sununu: 'I don't like' Trump's rhetoric, but it's 'nothing new'"	"GOP Gov. Chris Sununu, a Donald Trump supporter, said he isn't a fan of the former president's rhetoric but that his language is already baked in as an issue for voters."	2024-10-20T14:25:05Z	https://abcnews.go.com/Politics/gop-gov-sununu-trumps-rhetoric-new/story?id=114960034	Cultural Impact	Negative
BBC News		Watch: Donald Trump casts his vote with wife Melania	"The Republican presidential candidate says he feels ""very confident"" as he casts his ballot."	2024-11-05T18:56:42Z	https://www.bbc.com/news/videos/cvg7dgmglvpo	Election	Neutral
Fortune	"Ryan Hogg, AFP"	Vladimir Putin has no plans to congratulate Donald Trump as Europe’s leaders flock to praise White House victory	"Donald Trump has snatched a second term in the Oval Office, causing worry in Europe."	2024-11-06T10:47:57Z	https://fortune.com/europe/2024/11/06/donald-trump-victory-vladimir-putin-no-plans-to-congratulate/	Cultural Impact	Neutral
Newsweek	Andrew Stanton	Here's Where Donald Trump Actually Underperformed	"Nearly the entire country shifted toward Trump this year, but there were some pockets where Kamala Harris outperformed Joe Biden."	2024-11-08T22:27:23Z	https://www.newsweek.com/counties-where-donald-trump-underperformed-1983016	Election	Neutral
NBC News	NBC News	OVER 10 MILLION HAVE ALREADY VOTED!	"OVER 10 MILLION HAVE ALREADY VOTED!

 
 
 
 (Main headline, 1st story, link)

 

 

 
 Related stories:MAGA CLAIMS DOMINION FLIPPING"	2024-10-19T03:52:37Z	https://www.nbcnews.com/politics/2024-elections/early-vote	Polling	Neutral
BBC News		"As US votes, Ukraine’s future hangs in balance"	Ukrainians on the front lines tell the BBC's James Waterhouse that their country’s survival is in the hands of Americans.	2024-10-31T23:51:07Z	https://www.bbc.com/news/articles/cr5m6d6l7e2o	Cultural Impact	Positive
Bloomberg	Bloomberg	Trump victory gives Modi chance to reset India’s image with the West	"Analysts and officials believe that the US under Trump will continue a years-long effort to cultivate India as a strategic partner against a more assertive Beijing, an effort that has won India big new investments from US companies like Apple Inc"	2024-11-07T04:56:32Z	https://www.bloomberg.com/news/articles/2024-11-07/trump-victory-gives-modi-chance-to-reset-india-s-image-with-west	Cultural Impact	Neutral
CBS News	Lisa Rozner	Donald Trump's rally draws apparent sellout crowd to MSG	Thousands descended on Madison Square Garden on Sunday for former President Donald Trump's campaign rally.	2024-10-28T00:10:41Z	https://www.cbsnews.com/newyork/news/donald-trump-madison-square-garden-rally/	Election	Neutral
Wired	Joel Khalili	"As Trump Takes a Victory Lap, the Crypto Faithful Kiss the Ring"	The crypto industry is celebrating the return of Donald Trump to the White House in anticipation of an easier ride under his regime.	2024-11-06T21:11:39Z	https://www.wired.com/story/trump-crypto-support/	Economy	Negative
Business Insider	Jacob Zinkula	America's chipmaking push will continue no matter who gets elected	US efforts to increase the production of semiconductor chips will continue under either a Harris and Trump presidency.	2024-10-17T09:01:01Z	https://www.businessinsider.com/us-semiconductor-chip-production-continue-harris-trump-presidency-arizona-jobs-2024-10	Policies	Neutral
ABC News	"Alexandra Hutzler, Ivan Pereira, Tal Axelrod"	"2024 election updates: Harris, Trump in virtual dead heat in battleground states"	Most polls show Vice President Kamala Harris and former President Donald Trump neck-and-neck in key states with just about two weeks to go.	2024-10-21T13:10:04Z	https://abcnews.go.com/Politics/live-updates/2024election-updates-harris-trump-locked-virtual-dead-heat/?id=114983801	Polling	Neutral
NBC News	Nnamdi Egwuonwu and Raquel Coronell Uribe	'So evil' and 'dangerous': Trump doubles down on calling Democrats 'enemies from within'	"CUMMING, Ga. — Former President Donald Trump doubled down Tuesday on his remarks over the weekend referring to Democrats as the “enemy from within.”"	2024-10-16T01:56:16Z	https://www.nbcnews.com/politics/2024-election/trump-democrats-enemies-within-rcna175628	Election	Negative
Breitbart News	"Breitbart News, Breitbart News"	"Watch Live: Donald Trump Holds a Rally in Latrobe, Pennsylvania"	"Former President Donald Trump speaks to supporters at a rally in Latrobe, Pennsylvania, on Saturday, October 19.
The post Watch Live: Donald Trump Holds a Rally in Latrobe, Pennsylvania appeared first on Breitbart."	2024-10-19T22:06:12Z	https://www.breitbart.com/2024-election/2024/10/19/watch-live-donald-trump-holds-a-rally-in-latrobe-pennsylvania/	Election	Neutral
Wired	Zach Dorfman	The Untold Story of Trump's Failed Attempt to Overthrow Venezuela's President	"A successful CIA hack of Venezuela's military payroll system, insider fights for spy agency resources, and messy opposition politics: A WIRED investigation reveals a secret Trump-era attempt to oust autocratic ruler Nicolás Maduro."	2024-10-31T09:30:00Z	https://www.wired.com/story/trump-cia-venezuela-maduro-regime-change-plot/	Cultural Impact	Neutral
Fortune	Chloe Berger	More billionaires are publicly backing Kamala Harris than Donald Trump	"Democrats are often in favor of higher taxes on the rich, but in this election the wealthy are turning blue"	2024-10-24T02:11:00Z	https://fortune.com/2024/10/23/billioniares-back-harris-more-than-trump-musk-cuban/	Cultural Impact	Negative
Bloomberg	Bloomberg	Tesla shares soar as Musk’s bet on Trump signals potential gains	"Tesla shares surge as investors anticipate benefits from Trump's return, Musk's support, potential deregulation, and autonomous vehicle advancements."	2024-11-06T12:09:22Z	https://www.bloomberg.com/news/articles/2024-11-06/tesla-soars-as-musk-s-all-in-bet-on-trump-seen-reaping-rewards	Economy	Neutral
USA Today	"Rebecca Morin, USA TODAY"	"Harris, Trump locked in dead heat in battleground Wisconsin, new exclusive poll says"	Wisconsin voters still evenly split between Trump-Harris. She has a slight edge in bellwether Door County.	2024-10-28T09:13:35Z	https://www.usatoday.com/story/news/politics/elections/2024/10/28/poll-harris-trump-dead-heat-battleground-wisconsin/75845037007/	Polling	Negative
VentureBeat	Emilia David	"Tech leaders congratulate Trump on winning 2024 election, pledge to work together on innovation"	Leaders of AI companies and other tech organizations cited the need to maintain American AI leadership in congratulating Donald Trump.	2024-11-06T22:45:51Z	https://venturebeat.com/ai/tech-leaders-congratulate-trump-on-winning-2024-election-pledge-to-work-together-on-innovation/	Cultural Impact	Neutral
Politico	Adam Cancryn	Dems rage against Biden’s ‘arrogance’ after Harris loss	Democratic leaders had hoped Harris could separate herself from Biden’s deficiencies.	2024-11-07T00:37:45Z	https://www.politico.com/news/2024/11/06/democrats-blame-biden-trump-win-00188092	Cultural Impact	Neutral
The Verge	Lauren Feiner	Feds investigate racist texts sent across the country post-election	The Federal Communications Commission and Federal Bureau of Investigation are looking into racist messages sent to users in several states after the election.	2024-11-08T18:56:06Z	https://www.theverge.com/2024/11/8/24291466/fcc-fbi-racist-text-messages-post-election	Legal Issues	Neutral
New York Magazine	Matt Stieb	Joe Rogan Talked to Trump for 3 Hours and Didn’t Mention Jeffrey Epstein Once	"Joe Rogan talked to Donald Trump for three hours and did not mention Jeffrey Epstein once, despite his longtime obsession with the sex offender’s high-society connections — one of whom was Donald Trump."	2024-10-26T15:51:48Z	http://nymag.com/intelligencer/article/rogan-talked-to-trump-for-3-hours-and-didnt-mention-epstein.html	Election	Neutral
Buzzfeed	Matt Stopera	The Fonz's Response To Dr. Phil's Donald Trump Endorsement Is Going Viral	I need to see Bhad Bhabie's reaction next.View Entire Post ›	2024-10-29T16:53:44Z	https://www.buzzfeed.com/mjs538/henry-winkler-dr-phil-reaction	Cultural Impact	Neutral
CBC News		"Putin congratulates Trump, says he has 'no idea' what to expect from Republican's Oval Office return"	"In Vladimir Putin's first public comment on the U.S. vote, the Russian president on Thursday congratulated Donald Trump on his election victory and praised the president-elect's courage during the July assassination attempt."	2024-11-07T22:06:08Z	https://www.cbc.ca/news/world/putin-congratulates-trump-election-victory-1.7377210	Cultural Impact	Neutral
Fox News	Alex Nitzberg	"Liz Cheney blasts Trump as 'depraved,' 'unstable,' claims pro-life and pro-choice women rallying behind Harris"	"Liz Cheney, an outspoken Trump critic, called Trump""unstable"" and ""depraved"" during an appearance on CNN's ""State of the Union."""	2024-10-27T16:02:20Z	https://www.foxnews.com/politics/liz-cheney-blasts-trump-depraved-unstable-claims-pro-life-pro-choice-women-rallying-behind-harris	Cultural Impact	Negative
The New Yorker	Vinson Cunningham	How Far Can Political Ads Go to Swing the Vote?	"Vinson Cunningham surveys the landscape of political ads, in which Kamala Harris walks a line between illuminating the issues and acknowledging the world-historic craziness of her opponent and Donald Trump targets his base."	2024-11-01T10:00:00Z	https://www.newyorker.com/magazine/2024/11/11/how-far-can-political-ads-go-to-swing-the-vote	Election	Neutral
Slashdot.org	msmash	FBI Investigates Claims China Tried To Hack Donald Trump's Phone	Joe Biden's administration is investigating alleged Chinese efforts to hack US telecoms infrastructure amid reports hackers had targeted the phones of former president Donald Trump and his running mate JD Vance. Financial Times: The FBI and the Cybersecurity …	2024-10-25T21:00:00Z	https://news.slashdot.org/story/24/10/25/2055241/fbi-investigates-claims-china-tried-to-hack-donald-trumps-phone	Legal Issues	Negative
Gizmodo.com	Lucas Ropek	Google Searches for Comedian Who Told Racist Jokes at Trump Rally Surpass Taylor Swift	Who is Tony Hinchcliffe?	2024-10-28T22:45:33Z	https://gizmodo.com/google-searches-for-comedian-who-told-racist-jokes-at-trump-rally-surpass-taylor-swift-2000517557	Cultural Impact	Negative
Bloomberg	Bloomberg	Bitcoin rally slackens after more than 30% surge since Trump win	"Bitcoin surges post-Trump election, with potential regulatory support, while Dogecoin doubles in value amid market optimism."	2024-11-13T04:28:26Z	https://www.bloomberg.com/news/articles/2024-11-13/bitcoin-btc-rally-cools-trump-announcement-lifts-dogecoin-doge	Economy	Positive
Buzzfeed	Matt Stopera	This Video Of Donald Trump Struggling To Get Into That Garbage Truck Is Going Viral	What a time to be alive.View Entire Post ›	2024-10-31T15:26:27Z	https://www.buzzfeed.com/mjs538/donald-trump-garbage-truck	Cultural Impact	Negative
